Sample_ID,Specimen,Composition,d13C,d18O,Site,ICDES.Anderson,pcarb,Bleached,Measured By,Type,Instrument,d18Ow.SMOW
BU-89-2E (E2) #2,BU-89-2E,milky sediment,-6.082109729,-14.79177577,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
BU-89-2E (E2) #3,BU-89-2E,brown matrix,8.643655427,-12.69736789,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
BU-89-2E (E2) #4,BU-89-2E,spar,-3.161683563,-18.62873554,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
BU-89-2E (E2) #5,BU-89-2E,wood,-13.80419587,-15.90159174,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
BU-89-2E (E2) #6,BU-89-2E,dark grey matrix,-4.560395684,-14.82882319,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
BU-89-2E (E2) #7,BU-89-2E,wood,-2.36122245,-13.6029505,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
BU-89-2E (E2) #8,BU-89-2E,spar,-3.767681479,-17.79318389,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
BU-89-2E (E2) #9,BU-89-2E,dark grey matrix,-7.082725646,-14.76682546,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
BU-89-2E (E1) #1,BU-89-2E,milky sediment,-8.136463216,-14.69915722,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
BU-89-2E (E1) #2,BU-89-2E,dark grey matrix,-7.376769717,-11.17849979,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
BU-89-2E (E1) #3,BU-89-2E,cream sediment,-10.18443156,-10.34348262,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
BU-89-2E-E2-1,BU-89-2E,bulk,1.47530371,-11.80421244,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
