unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
COH2O;0,Major,Water,,,,,Water,, 
COTwo;0,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
COXb;0,Major,Metamorphic,Migmatite,,,,Migmatite,, 
COTKa;0,Minor,Igneous,Volcanic,,,,Volcanic, ,
COYam;0,Major,Igneous,Hypabyssal,Mafic-hypabyssal,,,Mafic-hypabyssal,,diabase 
COYam;0,Incidental,Igneous,Plutonic,Gabbroic,Gabbro,,Gabbro,Dike or sill, 
COJm;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone, ,
COTKa;0,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate, ,
COMDCA;0,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone, ,
COTc;0,Minor,Sedimentary,Coal,,,,Coal,, 
COTwc;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone,, 
COTwc;0,Major,Sedimentary,Clastic,Mudstone,,,Mudstone,, 
COTKda;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone, ,
COTKa;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale, ,
COTKda;0,Major,Sedimentary,Clastic,Mudstone,,,Mudstone, ,
COTRPdc;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
COCAam;0,Major,Igneous,Plutonic,Dioritic,Diorite,,Diorite,,diabase 
COCAam;0,"Indeterminate, major",Igneous,Hypabyssal,Mafic-hypabyssal,Hypabyssal-mafic-alkaline,,Hypabyssal-mafic-alkaline,,diabase 
COCAl;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
COCAl;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
COCAl;0,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
COCAs;0,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
COCAs;0,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
COCAs;0,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
CODO;0,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
CODO;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
CODO;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
CODO;0,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
CODOCA;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
CODOCA;0,Minor,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
COJm;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone, ,
COJm;0,Major,Sedimentary,Clastic,Mudstone,,,Mudstone, ,
COJm;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone, ,
COJmc;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone, ,
COJmc;0,Major,Sedimentary,Clastic,Mudstone,,,Mudstone, ,
COJmc;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone, ,
COJmc;0,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Glauconitic ,
COJmc;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone, ,
COJmce;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone, ,
COJmce;0,Major,Sedimentary,Clastic,Mudstone,,,Mudstone, ,
COJmce;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone, ,
COJme;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone, ,
COJme;0,Major,Sedimentary,Clastic,Mudstone,,,Mudstone, ,
COJme;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone, ,
COJmj;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone, ,
COJmj;0,Major,Sedimentary,Clastic,Mudstone,,,Mudstone ,,
COJmj;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
COJmr;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone ,,
COJmr;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
COJmr;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
COJmr;0,Major,Sedimentary,Chemical,Evaporite,Gypsum,,Gypsum ,,
COJmre;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
COJmre;0,Major,Sedimentary,Clastic,Mudstone,,,Mudstone ,,
COJmre;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone ,,
COJms;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
