state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
CO  ,Jme,Jme,Jme;0,COJme;0,0,,Morrison Fm and Entrada Sandstone,Phanerozoic | Mesozoic | Jurassic,,,,CO002,mudstone,sandstone,,CO002 ,
CO  ,Th,Th,Th;0,COTh;0,0,,Huerfano Fm,Phanerozoic | Cenozoic | Tertiary,Shale and sandstone. Includes Farisita Conglomerate in northwestern Huerfano County,,,CO002,shale,sandstone,conglomerate,CO002 ,
CO  ,Tsp,Tsp,Tsp;0,COTsp;0,0,,South Park Fm,Phanerozoic | Cenozoic | Tertiary,"Arkosic sandstone and shale, volcaniclastic conglomerate, and andesite flows and breccia",,,CO002,sandstone,shale,conglomerate; andesite; volcanic breccia (agglo,CO002 ,
CO  ,Kcg,Kcg,Kcg;0,COKcg;0,0,,"Carlile Shale, Greenhorn Limestone, and Graneros Shale",Phanerozoic | Mesozoic | Cretaceous,,,,CO002,shale,limestone,,CO002 ,
CO  ,Jm,Jm,Jm;0,COJm;0,0,,Morrison Fm,Phanerozoic | Mesozoic | Jurassic,"Variegated claystone, mudstone, sandstone, and local beds of limestone",,,CO002,mudstone,sandstone,limestone,CO002 ,
CO  ,J@mc,JTRmc,JTRmc;0,COJTRmc;0,0,,"Morrison, Entrada, and Chinle Fms",Phanerozoic | Mesozoic | Triassic Jurassic,"Along southern Grand Hogback, Chinle is represented only by basal Gartra Sandstone Member",,,CO002,mudstone,sandstone,,CO002 ,
CO  ,_am,CAam,CAam;0,COCAam;0,0,,Intrusive rocks,Phanerozoic | Paleozoic | Cambrian,"Alkalic and mafic intrusive rocks in small plutons, and diabase dikes",,,CO002,diabase,,,CO002 ,
CO  ,_l,CAl,CAl;0,COCAl;0,0,,Lodore Fm,Phanerozoic | Paleozoic | Cambrian,"Sandstone, shale, and conglomerate",,,CO002,sandstone,shale,conglomerate,CO002 ,
CO  ,Tdu,Tdu,Tdu;0,COTdu;0,0,,Upper part of Dawson Arkose,Phanerozoic | Cenozoic | Tertiary,"Arkosic sandstone, conglomerate, and shale. Includes Green Mountain Conglomerate south of Golden",,,CO002,sandstone,conglomerate,shale,CO002 ,
CO  ,Tbr,Tbr,Tbr;0,COTbr;0,0,,Rhyolitic intrusive rocks and flows of late-volcanic bimodal suite,Phanerozoic | Cenozoic | Tertiary,,,,CO002,rhyolite,,,CO002 ,
CO  ,Kmgs,Kmgs,Kmgs;0,COKmgs;0,0,,Mount Garfield Fm and Sego Sandstone,Phanerozoic | Mesozoic | Cretaceous,Sandstone and shale; major coal beds in lower part of Mount Garfield,,,CO002,sandstone,shale,coal,CO002 ,
CO  ,Jms,Jms,Jms;0,COJms;0,0,,Morrison Fm and Sundance Fm,Phanerozoic | Mesozoic | Jurassic,"Sundance Fm: Sandstone, shale, claystone, and limestone",,,CO002,mudstone,sandstone,limestone,CO002 ,
CO  ,Tbp,Tbp,Tbp;0,COTbp;0,0,,Browns Park Fm,Phanerozoic | Cenozoic | Tertiary,Sandstone and siltstone; west of Park Range,,,CO002,sandstone,siltstone,,CO002 ,
CO  ,Tt,Tt,Tt;0,COTt;0,0,,Troublesome Fm,Phanerozoic | Cenozoic | Tertiary,Sandstone and siltstone; in Middle Park,,,CO002,sandstone,siltstone,,CO002 ,
CO  ,Jmse,Jmse,Jmse;0,COJmse;0,0,,"Morrison Fm, Summerville Fm, and Entrada Sandstone",Phanerozoic | Mesozoic | Jurassic,Summerville Fm: Shale and siltstone,,,CO002,mudstone,sandstone,,CO002 ,
CO  ,Kp,Kp,Kp;0,COKp;0,0,,"Pierre Shale, undivided",Phanerozoic | Mesozoic | Cretaceous,,,,CO002,shale,,,CO002 ,
CO  ,Kpcl,Kpcl,Kpcl;0,COKpcl;0,0,,Pictured Cliffs Sandstone and Lewis Shale,Phanerozoic | Mesozoic | Cretaceous,,,,CO002,sandstone,shale,,CO002 ,
CO  ,TKi,TKi,TKi;0,COTKi;0,0,,Laramide intrusive rocks,Phanerozoic | Mesozoic Cenozoic | Cretaceous Tertiary,Mainly intermediate to felsic compositions; some mafic,,,CO002,granitoid,,,CO002 ,
CO  ,Kpg,Kpg,Kpg;0,COKpg;0,0,,"Pierre Shale (Kp), Niobrara (Kn), and Carlile, Greenhorn, and Graneros (Kcg) Fms, undivided",Phanerozoic | Mesozoic | Cretaceous,,,,CO002,shale,limestone,,CO002 ,
CO  ,_s,CAs,CAs;0,COCAs;0,0,,Sawatch Quartzite,Phanerozoic | Paleozoic | Cambrian,Locally includes Peerless Fm,,,CO002,quartzite,sandstone,dolostone (dolomite),CO002 ,
CO  ,DO,DO,DO;0,CODO;0,0,,"Parting, Fremont, and Harding Fms",Phanerozoic | Paleozoic | Ordovician Silurian(?) Devonian,,,,CO002,quartzite,sandstone,limestone; shale,CO002 ,
CO  ,DO_,DOCA,DOCA;0,CODOCA;0,0,,"Williams Canyon Limestone, Manitou Limestone, and Sawatch Quartzite",Phanerozoic | Paleozoic | Cambrian Ordovician(?) Silurian(?) Devonian,,,,CO002,limestone,quartzite,,CO002 ,
CO  ,Jmc,Jmc,Jmc;0,COJmc;0,0,,Morrison Fm and Curtis Fm,Phanerozoic | Mesozoic | Jurassic,"Morrison Fm: Variegated claystone, mudstone, sandstone, and local beds of limestone. Curtis Fm: glauconitic sandstone and limestone",,,CO002,mudstone,sandstone,limestone,CO002 ,
CO  ,Jmce,Jmce,Jmce;0,COJmce;0,0,,"Morrison, Curtis, and Entrada Fms",Phanerozoic | Mesozoic | Jurassic,"In extreme southwestern Moffat County, includes thin wedge of Carmel Fm (red siltstone and sandstone) beneath Entrada",,,CO002,mudstone,sandstone,,CO002 ,
CO  ,Jmj,Jmj,Jmj;0,COJmj;0,0,,Morrison Fm and Junction Creek Sandstone,Phanerozoic | Mesozoic | Jurassic,In Gunnison River area east of wedgeout of all units of Wanakah Fm (Jmw) except the Junction Creek Member,,,CO002,mudstone,sandstone,,CO002 ,
