Rowid_,LINECODE,SYMBOL,TYPE,HORIZONTAL,VERTICAL,FOLD,PLUNGE,ACCURACY,CERTAINTY,DESC_
,101,173,fault, , , , , , ,"fault, unknown offset"
,103,176,fault, , , , ,concealed, ,"fault, unknown offset, concealed (dotted)"
,111,51,fault, ,normal, , , , ,"normal, fault"
,113,186,fault, ,normal, , ,concealed, ,"normal fault, concealed (dotted)"
,141,52,fault,left-lateral, , , , , ,left-lateral strike-slip fault
,143,188,fault,left-lateral, , , ,concealed, ,"left-lateral strike-slip fault, concealed (dotted)"
,151,53,fault,right-lateral, , , , , ,right-lateral strike-slip fault
,153,190,fault,right-lateral, , , ,concealed, ,"right-lateral strike-slip fault, concealed (dotted)"
,171,15,fault, ,thrust, , , , ,thrust fault
,173,25,fault, ,thrust, , ,concealed, ,"thrust fault, concealed (dotted)"
,251,225,fault,right-lateral,normal, , , , ,right-lateral strike-slip fault w/ normal motion
,253,226,fault,right-lateral,normal, , ,concealed, ,"right-lateral strike-slip fault w/ normal motion, concealed (dotted)"
,401,60,fold, , ,anticline,horizontal, , ,horizontal anticline
,403,63,fold, , ,anticline,horizontal,concealed, ,"horizontal anticline, concealed"
,404,60,fold, , ,anticline,plunging, , ,plunging anticline
,410,60,fold, , ,anticline,plunging out, , ,double plunging anticline (out)
,413,92,fold, , ,syncline,horizontal, , ,horizontal syncline
,415,95,fold, , ,syncline,horizontal,concealed, ,"horizontal syncline, concealed"
,416,92,fold, , ,syncline,plunging, , ,plunging syncline
,425,231,fold, , ,monocline,horizontal, , ,horizontal monocline
,427,232,fold, , ,monocline,horizontal,concealed, ,"horizontal monocline, concealed"
,437,80,fold, , ,anticline, , , ,overturned anticline
,439,87,fold, , ,anticline, ,concealed, ,"overturned anticline, concealed"
,440,112,fold, , ,syncline, , , ,overturned syncline
,442,115,fold, , ,syncline, ,concealed, ,"overturned syncline, concealed"
