OBJECTID,Type,Description,IsConcealed,LocationConfidenceMeters,ExistenceConfidence,IdentityConfidence,Label,Symbol,DataSourceID,Notes,ContactsAndFaults_ID,Shape_Length
"1",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0001,"1918.225721376591"
"2",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0002,"1524.552919468094"
"3",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0003,"2444.424233871793"
"4",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0004,"4096.801540414886"
"5",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0005,"368.8951825678628"
"6",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0006,"1977.473695695547"
"7",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0007,"4234.246859265604"
"8",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0008,"5475.408345296459"
"9",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0009,"1684.090040081214"
"10",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0010,"2014.04133373354"
"11",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0011,"329.4959561927212"
"12",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0012,"8254.137951241133"
"13",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0013,"1391.339623718994"
"14",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0014,"1865.33744972192"
"15",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0015,"1814.689860133949"
"16",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0016,"1021.383780090031"
"17",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0017,"263.0625288191833"
"18",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0018,"140.6314014275025"
"19",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0019,"1804.891001996866"
"20",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0020,"1948.549431515419"
"21",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0021,"6482.564711999913"
"22",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0022,"705.5472905411945"
"23",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0023,"898.3924380748019"
"24",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0024,"881.5398632353149"
"25",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0025,"23136.00542594366"
"26",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0026,"3136.739081371416"
"27",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0027,"561.5524797981179"
"28",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0028,"5633.416622796448"
"29",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0029,"4335.160665639094"
"30",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0030,"1642.626041759554"
"31",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0031,"950.0349855090111"
"32",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0032,"724.7380771424632"
"33",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0033,"1743.152878407753"
"34",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0034,"643.2285307585365"
"35",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0035,"7997.066381567033"
"36",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0036,"373.6799742408901"
"37",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0037,"5282.378597489706"
"38",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0038,"383.2832309972007"
"39",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0039,"6208.784432340982"
"40",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0040,"429.9077417808196"
"41",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0041,"4242.090376514365"
"42",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0042,"427.7941365393669"
"43",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0043,"1291.351595220815"
"44",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0044,"3411.597117527516"
"45",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0045,"1026.792425274232"
"46",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0046,"139.2405336717469"
"47",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0047,"2857.739377678483"
"48",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0048,"162.9756583205816"
"49",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0049,"376.9419695695783"
"50",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0050,"376.2221870098348"
"51",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0051,"2783.75562002013"
"52",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0052,"1215.731722042912"
"53",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0053,"11269.15235622996"
"54",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0054,"8493.531128434448"
"55",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0055,"302.7937560745306"
"56",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0056,"923.4448355028054"
"57",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0057,"2519.202051228024"
"58",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0058,"1093.967802299192"
"59",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0059,"1225.892857444436"
"60",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0060,"739.8191303206556"
"61",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0061,"1715.175205001905"
"62",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0062,"983.7986588925647"
"63",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0063,"1778.462818841718"
"64",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0064,"1180.055931995996"
"65",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0065,"8260.811774195268"
"66",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0066,"6743.698419382467"
"67",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0067,"3705.300999550417"
"68",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0068,"730.8776958875047"
"69",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0069,"1425.22888364118"
"70",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0070,"17451.45054560306"
"71",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0071,"476.9631470531026"
"72",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0072,"6980.789366342921"
"73",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0073,"4411.979338490996"
"74",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0074,"856.2903590729323"
"75",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0075,"718.4095824371535"
"76",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0076,"428.9572614539914"
"77",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0077,"1848.944162416487"
"78",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0078,"658.3906423632275"
"79",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0079,"213.3637453343492"
"80",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0080,"1122.788173078417"
"81",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0081,"223.8954328802735"
"82",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0082,"1766.486370199556"
"83",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0083,"816.4539888618724"
"84",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0084,"968.1079029781956"
"85",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0085,"297.3710103382796"
"86",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0086,"303.5556010343877"
"87",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0087,"4305.239798924229"
"88",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0088,"2078.018575795536"
"89",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0089,"1200.110074653204"
"90",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0090,"1896.134112020179"
"91",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0091,"14802.49049163815"
"92",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0092,"3965.956821526646"
"93",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0093,"2015.808663995212"
"94",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0094,"1417.628363675396"
"95",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0095,"163.6659159855067"
"96",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0096,"1188.643720466229"
"97",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0097,"1401.363945923889"
"98",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0098,"1372.798130454457"
"99",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0099,"5566.092969957717"
"100",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0100,"2496.111286078194"
"101",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0101,"6885.349429856554"
"102",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0102,"1403.351352390352"
"103",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0103,"961.0155239946537"
"104",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0104,"1684.16837949674"
"105",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0105,"3282.923315497694"
"106",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0106,"739.8761210346034"
"107",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0107,"9312.039396182721"
"108",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0108,"1120.567012332737"
"109",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0109,"8498.196331793642"
"110",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0110,"1785.744779421467"
"111",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0111,"11434.23920277304"
"112",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0112,"1689.247265982433"
"113",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0113,"3767.027545594315"
"114",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0114,"6622.763190187101"
"115",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0115,"5959.940338113023"
"116",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0116,"3155.500130449009"
"117",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0117,"2071.568796140674"
"118",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0118,"1557.0865234938"
"119",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0119,"1562.387056493448"
"120",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0120,"1460.294137982404"
"121",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0121,"3178.593123150446"
"122",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0122,"5738.508608934932"
"123",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0123,"7669.263158288777"
"124",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0124,"2263.849359846626"
"125",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0125,"1365.926683426755"
"126",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0126,"528.6982636919893"
"127",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0127,"1391.616227530032"
"128",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0128,"858.6403713761158"
"129",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0129,"2340.104070625896"
"130",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0130,"690.7293630801507"
"131",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0131,"849.8123628683804"
"132",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0132,"1923.6883812468"
"133",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0133,"1786.020929745198"
"134",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0134,"3443.231116352099"
"135",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0135,"3568.844764662479"
"136",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0136,"1808.968130221389"
"137",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0137,"1908.612428890093"
"138",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0138,"29635.05607353165"
"139",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0139,"20578.49002051615"
"140",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0140,"3782.762938649812"
"141",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0141,"1300.110580192776"
"142",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0142,"910.9292273651898"
"143",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0143,"4608.4752514186"
"144",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0144,"3484.906281876582"
"145",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0145,"107.5239810767581"
"146",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0146,"4218.080569001537"
"147",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0147,"17092.43394967868"
"148",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0148,"2577.505243796409"
"149",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0149,"1091.781803530345"
"150",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0150,"3440.838537229226"
"151",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0151,"14296.13850109946"
"152",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0152,"13824.56554878957"
"153",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0153,"228.3054079554377"
"154",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0154,"572.3958188062061"
"155",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0155,"563.848085523916"
"156",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0156,"1046.893691075688"
"157",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0157,"446.2436835633595"
"158",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0158,"882.3969816436777"
"159",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0159,"2300.194738161766"
"160",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0160,"487.3339376493251"
"161",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0161,"2619.952182827358"
"162",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0162,"1922.991821181013"
"163",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0163,"677.8890624543952"
"164",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0164,"8925.266761570274"
"165",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0165,"870.0449667394839"
"166",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0166,"1442.51950866008"
"167",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0167,"263.3433236963097"
"168",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0168,"1299.203441445467"
"169",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0169,"407.4516299659859"
