OBJECTID,DataSourceID,Notes,DataSourcePolys_ID,Shape_Length,Shape_Area
"1",DAS01,Source of all GIS.,DSP01,"524250.5984831286","16753775841.02913"
"2",DAS05,Sources of geologic mapping shown on 'Index to Sources of Geologic Data' index map of original publication (DAS02).,DSP02,"269292.9108246294","2236006463.715407"
"3",DAS06,Sources of geologic mapping shown on 'Index to Sources of Geologic Data' index map of original publication (DAS02).,DSP03,"269292.9108246294","2236006463.715407"
"4",DAS07,Sources of geologic mapping shown on 'Index to Sources of Geologic Data' index map of original publication (DAS02).,DSP04,"473770.6418894993","7434855019.999828"
"5",DAS08,Sources of geologic mapping shown on 'Index to Sources of Geologic Data' index map of original publication (DAS02).,DSP05,"354337.4389010874","3599123629.136961"
"6",DAS09,Sources of geologic mapping shown on 'Index to Sources of Geologic Data' index map of original publication (DAS02).,DSP06,"67715.58238928232","274271156.4122148"
"7",DAS10,Sources of geologic mapping shown on 'Index to Sources of Geologic Data' index map of original publication (DAS02).,DSP07,"138468.107227577","908095069.5756739"
"8",DAS11,Sources of geologic mapping shown on 'Index to Sources of Geologic Data' index map of original publication (DAS02).,DSP08,"138468.107227577","908095069.5756739"
"9",DAS12,Sources of geologic mapping shown on 'Index to Sources of Geologic Data' index map of original publication (DAS02).,DSP09,"132515.2106648325","862419043.3833424"
"10",DAS13,Sources of geologic mapping shown on 'Index to Sources of Geologic Data' index map of original publication (DAS02).,DSP10,"98478.00569578567","553137862.0817395"
"11",DAS14,Sources of geologic mapping shown on 'Index to Sources of Geologic Data' index map of original publication (DAS02).,DSP11,"98478.00569578567","553137862.0817395"
"12",DAS15,Sources of geologic mapping shown on 'Index to Sources of Geologic Data' index map of original publication (DAS02).,DSP12,"118056.9570934688","885867596.7239646"
"13",DAS16,Sources of geologic mapping shown on 'Index to Sources of Geologic Data' index map of original publication (DAS02).,DSP13,"118056.9570934688","885867596.7239646"
"14",DAS17,Sources of geologic mapping shown on 'Index to Sources of Geologic Data' index map of original publication (DAS02).,DSP14,"118056.9570934688","885867596.7239646"
"15",DAS18,Sources of geologic mapping shown on 'Index to Sources of Geologic Data' index map of original publication (DAS02).,DSP15,"118056.9570934688","885867596.7239646"
