OBJECTID,Source,Notes,URL,DataSources_ID
"1","Mudge and others, 2001","Mudge, M.R., Earhart, R.L., Whipple, J.W., Harrison, J.E., Munts, S.R., and Silkwood, J.T., 2001, Geologic and structure map of the Choteau 1 x 2 degree quadrangle, western Montana: a digital database: U.S. Geological Survey, Miscellaneous Investigations Series Map I-1300, version 1.0, 38 p., scale 1:250,000.",https://pubs.er.usgs.gov/publication/i1300,DAS01
"2","Mudge and others, 1982","Mudge, M.R., Earhart, R.L., Whipple, J.W., and Harrison, J.E., 1982, Geologic and structure map of the Choteau 1 x 2 degree quadrangle, western Montana: U.S. Geological Survey, Miscellaneous Investigations Series Map I-1300, scale 1:250,000.",https://doi.org/10.3133/i1300,DAS02
"3","USGS NCGMP, 2020","U.S. Geological Survey National Cooperative Geologic Mapping Program, 2020, GeMS (Geologic Map Schema) - A standard format for the digital publication of geologic maps: U.S. Geological Survey Techniques and Methods, book 11, chap. B10, 74 p.",https://doi.org/10.3133/tm11B10,DAS03
"4","Neuendorf and others, 2011","Neuendorf, K.K.E., Mehl Jr., J.P., and Jackson, J.A., 2011, Glossary of Geology (fifth edition): American Geological Institute, Alexandria, Virginia, 779 p.",,DAS04
"5","Harrison, unpublished mapping","Harrison, J.E., unpublished geologic mapping, U.S. Geological Survey.",,DAS05
"6","Harrison and others, 1969","Harrison, J.E., Reynolds, M.W., Kleinkopf, M.D., and Pattee, E.C., 1969, Mineral resources of the Mission Mountains Primitive area, Missoula and Lake Counties, Montana: U.S. Geological Survey Bulletin 1261-D 48 p.",https://pubs.usgs.gov/bul/1261d/,DAS06
"7","Mudge and Earhart, unpublished mapping","Mudge, M.R., and Earhart, R.L, unpublished geologic mapping, U.S. Geological Survey.",,DAS07
"8","Mudge, unpublished mapping","Mudge, M.R., unpublished geologic mapping, U.S. Geological Survey.",,DAS08
"9","Mudge, 1972","Mudge, M.R., 1972, Pre-Quaternary rocks in the Sun River Canyon area, northwestern Montana: U.S. Geological Survey Professional Paper 663-A, 142 p.",https://pubs.er.usgs.gov/publication/pp663A,DAS09
"10","Earhart and others, 1976-1977","Earhart, R.L., Grimes, D.J., Leinz, R.W., and Marks, L.Y., 1976, 1977. Mineral resources of proposed additions to the Scapegoat Wilderness, Powell and Lewis and Clark Counties, Montana: U.S. Geological Survey Bulletin 1430, p. 63.",https://pubs.er.usgs.gov/publication/b1430,DAS10
"11","Mudge and others, 1974","Mudge, M.R., Earhart, R.L., Watts, K.C., Tuchek, E.T., and Rice, W.L., 1974, Mineral resources of the Scapegoat Wilderness, Powell and Lewis and Clark Counties, Montana: U.S. Geological Survey Bulletin 1385-B, 82 p.",https://pubs.usgs.gov/bul/1385b/,DAS11
"12","Whipple and others, unpublished mapping","Whipple, J.W., Mudge, M.R., and Earhart, R.L., unpublished geologic mapping, U.S. Geological Survey.",,DAS12
"13","Harris, 1963","Harris, F.G., III, 1963, Geology of the Dry Creek area, Lewis and Clark County, Montana: Univ. of Missouri, M.A. thesis, 114 p.",,DAS13
"14","Viele, 1960","Viele, G.W., 1960, The geology of the Flat Creek area, Lewis and Clark Counties, Montana: Utah Univ. Ph. D. thesis, 213 p.",,DAS14
"15","Schmidt, 1972a","Schmidt, R.G., 1972a, Geologic map of the Wolf Creek quadrangle, Lewis and Clark Counties, Montana: U.S. Geological Survey Quadrangle Map GQ-974, scale 1:24,000.",https://ngmdb.usgs.gov/Prodesc/proddesc_2273.htm,DAS15
"16","Schmidt, 1972b","Schmidt, R.G., 1972b, Geologic map of the Coburn Mountain quadrangle, Lewis and Clark Counties, Montana: U.S. Geological Survey Quadrangle Map GQ-975, scale 1:24,000.",https://ngmdb.usgs.gov/Prodesc/proddesc_2274.htm,DAS16
"17","Schmidt, 1972c","Schmidt, R.G., 1972c, Geologic map of the Comb Rock quadrangle, Lewis and Clark Counties, Montana: U.S. Geological Survey Quadrangle Map GQ-976, scale 1:24,000.",https://ngmdb.usgs.gov/Prodesc/proddesc_2275.htm,DAS17
"18","Schmidt and Strong, 1972","Schmidt, R.G., and Strong, C.P., Jr., 1972, Geologic map of the Roberts Mountain quadrangle, Lewis and Clark Counties, Montana: U.S. Geological Survey Quadrangle Map GQ-977, scale 1:24,000.",https://ngmdb.usgs.gov/Prodesc/proddesc_2276.htm,DAS18
"19","Cobban, 1955","Cobban, W.A., 1955, Cretaceous rocks of northwestern Montana, in Billings Geological Society Guidebook, 6th Annual Field Conference, 1955: p. 107-119.",,DAS19
"20","Cobban and others, 1959a","Cobban, W.A., Erdmann, C.W., Lemke, R.W., and Maughan, E.K., 1959a, Colorado Group on Sweetgrass Arch, Montana, in Billings Geological Society Guidebook, 10th Annual Field Conference, 1959: p. 89-92.",,DAS20
"21","Cobban and others, 1959b","Cobban, W.A., Erdmann, C.W., Lemke, R.W., and Maughan, E.K., 1959b, Revision of Colorado Group on Sweetgrass Arch, Montana: American Association of Petroleum Geologists Bulletin, v. 43, no. 12, p. 89-92.",,DAS21
"22","Cobban and others, 1976","Cobban, W.A., Erdmann, C.W., Lemke, R.W., and Maughan, E.K., 1976, Type sections and stratigraphy of the members of the Blackleaf and Marias River Formations (Cretaceous) of the Sweetgrass Arch, Montana: U.S. Geological Survey Professional Paper 974, 66 p.",https://pubs.usgs.gov/pp/0974/,DAS22
"23","Deiss, 1939","Deiss, C.F., 1939, Cambrian stratigraphy and trilobites of northwestern Montana: Geological Society of America Special Paper 18, 135 p.",,DAS23
"24","Johns, 1970","Johns, W.M. 1970, Geology and mineral deposits of Lincoln and Flathead Counties, Montana: Montana Bureau of Mines and Geology Bulletin 79, 182 p.",http://www.mbmg.mtech.edu/mbmgcat/public/ListCitation.asp?pub_id=10080&,DAS24
"25","Lyons, 1944","Lyons, J.B., 1944, Igneous rocks of the Northern Big Belt Range, Montana: Geological Society of America Bulletin, v. 55, no. 4, p. A37.",https://pubs.geoscienceworld.org/gsa/gsabulletin/article/55/4/445/4037/igneous-rocks-of-the-northern-big-belt-range,DAS25
"26","Mehnert and Schmidt, 1971","Mehnert, H.H., and Schmidt, R.G., 1971, Geological Survey Research 1971 [1972]: U.S. Geological Survey Professional Paper 750-A, p. A37.",https://pubs.er.usgs.gov/publication/pp750A,DAS26
"27","Mudge and Earhart, 1978","Mudge, M.R., and Earhart, R.L., 1978, Geology of the Bob Marshall Wilderness and study area, Chapter A, in Mineral Resources of the Bob Marshall Wilderness and study area, Lewis and Clark, Teton, Pondera, Flathead, Lake, Missoula, and Powell Counties, Montana: U.S. Geological Survey Open-File Report 78-295, 47 p.",https://pubs.er.usgs.gov/publication/ofr78295,DAS27
"28","Mudge and Sheppard, 1968","Mudge, M.R., and Sheppard, R.A., 1968, Provenance of igneous rocks in Cretaceous conglomerates in northwestern Montana, in U.S. Geological Survey Professional Paper 600-D, p. D137-D146.",https://pubs.er.usgs.gov/publication/pp600D,DAS28
"29","Mudge and others, 1962","Mudge, M.R., Sando, W.J., and Dutro, J.T., Jr., 1962, Mississippian rocks of Sun River Canyon area, Sawtooth Range, Montana: American Association of Petroleum Geologists Bulletin, v 46, no. 11, p. 2003-2018.",,DAS29
"30","O'Conner, 1967","O'Connor, M.P., 1967, Stratigraphy and petrology across the Precambrian Piegan Group - Missoula Group boundary, southern Mission and Swan Ranges, Montana: Montana University Ph. D. thesis.",,DAS30
"31","Schmidt, 1978","Schmidt, R.G., 1978, Rocks and mineral resources of the Wolf Creek area, Lewis and Clark and Cascade Counties, Montana: U.S. Geological Survey Bulletin 1441, 91 p.",https://pubs.er.usgs.gov/publication/b1441,DAS31
"32","Sommers, 1966","Sommers, D.A., 1966, Stratigraphy and structure of a portion of the Bob Marshall wilderness area, northwestern Montana: Massachusetts University Ph. D. thesis, 138 p.",,DAS32
"33","Viele and Harris, 1965","Viele, G.W., and Harris, F.G., 3d, 1965, Montana Group stratigraphy, Lewis and Clark County, Montana: American Association of Petroleum Geologists Bulletin, v. 49, no. 4, p. 379-417.",,DAS33
