OBJECTID,Type,Description,IsConcealed,LocationConfidenceMeters,ExistenceConfidence,IdentityConfidence,Symbol,Label,DataSourceID,Notes,GeologicLines_ID,Shape_Length
"1",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,merged multiple lines into one,GEL001,"10251.92595066811"
"2",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,merged multiple lines into one,GEL002,"6175.88426351175"
"3",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL003,"1413.237503632594"
"4",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,merged multiple lines into one,GEL004,"2181.153152984774"
"5",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,modified to match printed map,GEL005,"941.8499073741094"
"6",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL006,"5486.652363583651"
"7",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL007,"3107.967111624399"
"8",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,modified to match printed map,GEL008,"2462.367923550461"
"9",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL009,"1009.556931084806"
"10",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,modified to match printed map,GEL010,"883.7943957104408"
"11",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL011,"513.4265471385276"
"12",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL012,"665.533304382186"
"13",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,merged multiple lines into one,GEL013,"991.6019894968906"
"14",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL014,"4578.450860548491"
"15",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,modified to match printed map,GEL015,"16960.4577387582"
"16",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL016,"2536.398296632143"
"17",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,modified to match printed map,GEL017,"883.4811081859442"
"18",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL018,"690.4234964946686"
"19",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,modified to match printed map,GEL019,"4772.20113642012"
"20",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,modified to match printed map,GEL020,"671.7200633045584"
"21",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL021,"585.0672192058425"
"22",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL022,"1273.778475072527"
"23",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,modified to match printed map,GEL023,"2033.441881072288"
"24",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL024,"1954.311927758055"
"25",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,"merged multiple lines into one; modified to match printed map",GEL025,"6606.430967759848"
"26",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL026,"2149.17687537142"
"27",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL027,"2713.022782689286"
"28",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,merged multiple lines into one,GEL028,"6965.138370560556"
"29",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL029,"478.6898967788347"
"30",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,merged multiple lines into one,GEL030,"5210.860384020478"
"31",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,modified to match printed map,GEL031,"3016.88201180576"
"32",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL032,"383.5526784098654"
"33",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL033,"1764.705350118905"
"34",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,merged multiple lines into one,GEL034,"3897.584105769324"
"35",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,merged multiple lines into one,GEL035,"2610.672873415746"
"36",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,"merged multiple lines into one; modified to match printed map",GEL036,"3569.567161042323"
"37",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL037,"1271.833868188548"
"38",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL038,"6729.164064500939"
"39",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL039,"3786.530838359909"
"40",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL040,"8420.724311132091"
"41",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL041,"631.1123671774212"
"42",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL042,"2147.524254393069"
"43",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL043,"956.9554835408063"
"44",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL044,"3550.533271694498"
"45",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,modified to match printed map,GEL045,"5824.20072674192"
"46",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL046,"2025.381392436241"
"47",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,merged multiple lines into one,GEL047,"2056.997231168722"
"48",anticline,"anticline, certain",N,"-9",certain,certain,05.01.01,,DAS01,,GEL048,"2135.803553388756"
