OBJECTID,MapUnit,IdentityConfidence,Label,Symbol,DataSourceID,Notes,MapUnitPolys_ID,Shape_Length,Shape_Area
"1",Cu,certain,_u,Cu,DAS01,,MUP0001,"43008.07005589305","26012198.68173803"
"2",Cu,certain,_u,Cu,DAS01,,MUP0002,"26914.54498819723","8819690.769682502"
"3",Cu,certain,_u,Cu,DAS01,,MUP0003,"40200.14713529912","32587888.99405587"
"4",Cu,certain,_u,Cu,DAS01,,MUP0004,"14711.45956169209","2150096.470116849"
"5",Cu,certain,_u,Cu,DAS01,,MUP0005,"1843.332012594575","218365.7531168106"
"6",Cu,certain,_u,Cu,DAS01,,MUP0006,"2409.218477408407","370841.958100439"
"7",Cu,certain,_u,Cu,DAS01,,MUP0007,"5268.585715283452","1323224.26161207"
"8",Cu,certain,_u,Cu,DAS01,,MUP0008,"11600.71973917259","4045572.551845583"
"9",Cu,certain,_u,Cu,DAS01,,MUP0009,"13264.44019196741","2662141.868248164"
"10",Cu,certain,_u,Cu,DAS01,changed from Ym to Cu to match printed map,MUP0010,"1185.840254054709","85344.57666952586"
"11",Cu,certain,_u,Cu,DAS01,,MUP0011,"3465.902808412838","700317.3334710953"
"12",Cu,certain,_u,Cu,DAS01,,MUP0012,"58281.28141740458","35384733.20889191"
"13",Cu,certain,_u,Cu,DAS01,,MUP0013,"56837.70122097094","29316848.12046386"
"14",Cu,certain,_u,Cu,DAS01,,MUP0014,"3156.161314676374","677083.6086622962"
"15",Cu,certain,_u,Cu,DAS01,,MUP0015,"9929.731387434551","2815252.988381769"
"16",Cu,certain,_u,Cu,DAS01,,MUP0016,"12535.21975396618","1678718.380828351"
"17",Cu,certain,_u,Cu,DAS01,,MUP0017,"15452.09675509415","2863813.732038376"
"18",Cu,certain,_u,Cu,DAS01,,MUP0018,"111368.8787424492","68082155.80394176"
"19",Cu,certain,_u,Cu,DAS01,,MUP0019,"67373.68741128735","46787536.81348738"
"20",Cu,certain,_u,Cu,DAS01,,MUP0020,"2517.105562065457","419131.6199086067"
"21",Cu,certain,_u,Cu,DAS01,,MUP0021,"3267.079643879669","362370.7595555141"
"22",Cu,certain,_u,Cu,DAS01,,MUP0022,"89445.71447957821","54991712.40259659"
"23",Cu,certain,_u,Cu,DAS01,,MUP0023,"45188.35474221536","17583325.50842731"
"24",Cu,certain,_u,Cu,DAS01,,MUP0024,"18880.46465064069","6826307.217057508"
"25",Cu,certain,_u,Cu,DAS01,,MUP0025,"30496.72660155736","23950756.46616553"
"26",Cu,certain,_u,Cu,DAS01,,MUP0026,"20808.12797476496","11021432.77812707"
"27",Cu,certain,_u,Cu,DAS01,,MUP0027,"6921.828097985886","655674.3098633623"
"28",Cu,certain,_u,Cu,DAS01,,MUP0028,"1885.883265484603","234123.4237151939"
"29",Cu,certain,_u,Cu,DAS01,,MUP0029,"28185.94204951552","12404099.01444231"
"30",Cu,certain,_u,Cu,DAS01,,MUP0030,"51234.93201078378","18787425.46975181"
"31",Cu,certain,_u,Cu,DAS01,,MUP0031,"2914.733169921721","298376.3833267734"
