Field_Name [shapefile],Table_Name,Description,Minimum,Maximum,Units,Source,Unrepresentable
Age,DescriptionOfMapUnits,Age of map unit as shown in Description of Map Units.,,,,"USGS NCGMP, 2020","Examples of values: ""Pleistocene"" or ""Middle Jurassic"""
AreaFillPatternDescription [PatDes],DescriptionOfMapUnits,"Text description (for example, ""random small red dashes"") provided as a convenience for users who must recreate symbolization.",,,,"USGS NCGMP, 2020","Examples of values: ""red circles"" or ""red triangles"""
AreaFillRGB [RGB],DescriptionOfMapUnits,"{Red, Green, Blue} tuples that specify the suggested color (for example, ""255,255,255"", ""124,005,255"") of area fill for symbolizing MapUnit. Each color value is an integer between 0 and 255, values are zero-padded to a length of 3 digits, and values are separated by commas with no space: NNN,NNN,NNN.",,,,"USGS NCGMP, 2020","Example of values: ""255,255,204"""
ContactsAndFaults_ID [CAFs_ID],ContactsAndFaults,Unique alpha-numeric value assigned to each feature (primary key).,,,,"USGS NCGMP, 2020","Values are unique within this database. Example of values: ""CAF0001"""
DataSourceID [DatSrcID],"ContactsAndFaults, DataSourcePolys, GeologicLines, MapUnitPolys",Source of data; alpha-numeric value used to link to DataSources table (foreign key).,,,,"USGS NCGMP, 2020",
DataSourcePolys_ID [DSrcPol_ID],DataSourcePolys,Unique alpha-numeric value assigned to each feature (primary key).,,,,"USGS NCGMP, 2020","Values are unique within this database. Example of values: ""DSP01"""
DataSources_ID [DatSrc_ID],DataSources,Unique alpha-numeric value assigned to each feature (primary key).,,,,"USGS NCGMP, 2020","Values are unique within this database. Example of values: ""DAS01"""
Definition,"GeoMaterialDict, Glossary",Plain-language definition.,,,,"USGS NCGMP, 2020","Example of values: ""A fold, generally convex upward, whose core contains the stratigraphically older rocks."""
DefinitionSourceID [DefSrcID],Glossary,Source of definition; alpha-numeric value used to link to DataSources table (foreign key).,,,,"USGS NCGMP, 2020",
Description [Descr],"DescriptionOfMapUnits, ContactsAndFaults, GeologicLines","Free-format text description of map unit or the Type and certainty of a line feature. Commonly structured according to one or more accepted traditions (e.g., lithology, thickness, color, weathering and outcrop characteristics, distinguishing features, genesis, age constraints).",,,,"USGS NCGMP, 2020","Example of values from the DescriptionOfMapUnits table: ""Mostly noncalcareous, greenish-gray, thinly laminated clay shale with local thin interbeds of dolomite, limestone, sandstone, and conglomerate. Thickness from 21 m to 92 m""

Example of values from the ContactsAndFaults feature class: ""fault, normal, certain"""
DescriptionOfMapUnits_ID [DMapUns_ID],DescriptionOfMapUnits,Unique alpha-numeric value assigned to each feature (primary key).,,,,"USGS NCGMP, 2020","Values are unique within this database. Example of values: ""DMU01"""
DescriptionSourceID [DesSrcID],DescriptionOfMapUnits,Source(s) of map unit description; alpha-numeric value used to link to DataSources table (foreign key).,,,,"USGS NCGMP, 2020","Values are unique within this database. Multiple values concatenated. Examples of values: ""DAS02"" and ""DAS02 | DAS09 | DAS29""; see DataSources_ID attribute information."
ExistenceConfidence [ExiConf],"ContactsAndFaults, GeologicLines",Confidence that feature exists.,,,,"USGS NCGMP, 2020",
FullName,DescriptionOfMapUnits,Name of map unit including identification of containing higher rank unit(s).,,,,"USGS NCGMP, 2020","Example of values: ""Cone Member of the Marias River Shale"""
GeologicLines_ID [GeoLin_ID],GeologicLines,Unique alpha-numeric value assigned to each feature (primary key).,,,,"USGS NCGMP, 2020","Values are unique within this database. Example of values: ""GEL001"""
GeoMaterial [GeoMat],"DescriptionOfMapUnits, GeoMaterialDict","Categorization of map unit based on lithologic and genetic character, term selected from NGMDB standard term list defined in Appendix 1 of GeMS documentation.",,,,"USGS NCGMP, 2020","Example of values: ""------Mafic-composition lava flows"" or ""------Sandstone and mudstone"""
GeoMaterialConfidence [GeoMatConf],DescriptionOfMapUnits,Describes appropriateness of GeoMaterial term for describing the map unit.,,,,"USGS NCGMP, 2020",
Glossary_ID [Glo_ID],Glossary,Unique alpha-numeric value assigned to each feature (primary key).,,,,"USGS NCGMP, 2020","Values are unique within this database. Example of values: ""GLO01"""
HierarchyKey [HKey],"DescriptionOfMapUnits, GeoMaterialDict","String that records hierarchical structure. Has form nn-nn-nn, nnn-nnn, or similar. Numeric, left-padded with zeros, dash-delimited. Each HierarchyKey fragment of each row is the same length to allow text-based sorting of table entries.",,,,"USGS NCGMP, 2020","Examples of values: ""01-17-01"" or ""02-12"""
IdentityConfidence [IdeConf],"ContactsAndFaults, GeologicLines, MapUnitPolys",Confidence that feature is correctly identified.,,,,"USGS NCGMP, 2020",
IndentedName [IndNam],GeoMaterialDict,Name with addition of leading spaces to help show rank within a hierarchical list.,,,,"USGS NCGMP, 2020","Examples of values: ""Sedimentary material"" or ""------Silt and clay of unspecified origin""."
IsConcealed [IsCon],"ContactsAndFaults, GeologicLines",Flag for contacts and faults covered by overlying map unit.,,,,"USGS NCGMP, 2020",
